Name,Area,Spotify_Name,Spotify_ID,Similarity_ratio
9001,KR,9001,0ucJPeq0vaU8dbHu0Tie6E,100.0
963,JP,963 Hz Solfeggio Tones,32YvtvECf4Jdu6dFWGCOZh,24.0
99RadioService,JP,99RadioService,64NNj1prqD7RQffDlZw095,100.0
9MUSES,KR,9MUSES,55tJwpPIz9BMrSLM45iEXX,100.0
9MUSES A,KR,Gyeong Ree(9MUSES) & Nakta Choi,5QMlq0IweYJ7aPAIZQs2ab,36.0
9reat!,KR,9reat!,3siveQoW1W5fOv7jokJvCc,100.0
9th Street,KR,9th Street,5Vs0JnRJVdBdWFC4srmwc9,100.0
9th Wonder,USUK,9th Wonder,4s8ZGMVf3OiPktSP4ulpqU,100.0
<Artista Desconhecido>,KR,Artista Desconhecido,23lBp7bkqCFJQrHTViX8LO,95.0
<BPM>,Latin,BPMoore,7IZYQVOMyQi55ytXjYoXrP,50.0
?? ???,JP,Die drei ???,3meJIgRw7YleJrmbpbJK6S,44.0
???? (Girls Generation),KR,,,
????? (Suga Shikao),KR,,,
@onefive,JP,@onefive,3XbaqDhk0yeJBmpR1qpjqM,100.0
@onisirige,JP,@onisirige,4jIYiA8lHT3ZTOb8bcbg2C,100.0
A,USUK,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,14.0
A B Quintanilla III Presents Kumbia Kings,Latin,,,
A Band Of Bitches,Latin,A Band of Bitches,6IIEBd4VQjxwVMJNJuOlCB,94.0
A Bit Grumpy,EU,,,
A Boogie wit da Hoodie,USUK,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,95.0
A Bossa Elétrica,Latin,A Bossa Elétrica,32i53I8U2hquSThuvgepBc,100.0
A Buena Vista,Latin,"""Aguaje"" Ramos, ""Cachaito"" López Y ""Guajiro"" Mirabal De Buena Vista Social Club Y Manuel ""Galbán"" Torralba",3cdt1atl6G4lpWw1cmTDoO,22.0
A Cosa,Latin,C.O.S.A.,7kj57NIwoqvnBTSpSgrO3p,14.0
A Dong,VN,Dong ASMR,4EnsqkarCSSwxvDq3en1dk,53.0
A Espetacular Charanga do França,Latin,A Espetacular Charanga do França,27e9TP5JKiTqZVWt4OOHvA,100.0
A French Butler Called Smith,Latin,,,
A Great Big World,USUK,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,100.0
A Love to Kill Ost,KR,,,
A Man Called Adam Vs. Chris Coco,Latin,,,
A Millionaire's First Love,KR,,,
A Millionaire's First Love OST,KR,,,
A Moment to Remember OST,KR,,,
A Perfect Circle,USUK,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,100.0
A Pink,KR,Ariel Pink,5H0YoDsPDi9fObFmJtTjfN,75.0
A Qui Avec Gabriel,JP,A Qui Avec Gabriel,7omFL6PWn0mUv1BBOkIswA,100.0
A Silent Film,USUK,A Silent Film,7HO5HS3yeokRBGVC4nSKIb,100.0
A Soulless Pain,JP,a Soulless Pain,44xlG4dYIHhmQ6ftLc5LuR,93.0
A Taste of Honey,USUK,A Taste Of Honey,1ii6e2pv8VIRwnTER71rMl,94.0
A Thao,VN,Thao & The Get Down Stay Down,2dn0CGCWvtrwZ66bOeLNb2,23.0
A Thousand Horses,USUK,A Thousand Horses,55RI2GNCfyXr0f14uIdhwd,100.0
A Touch of Class,EU,A Touch Of Class,5wTdspmxzb8V4ZjvDodpBo,94.0
A Tribe Called Quest,USUK,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,100.0
A Voz Do Morro,Latin,Conjunto A Voz do Morro,6yTJzCyohxpTZGh1rp1DBs,70.0
A Wilhelm Scream,USUK,A Wilhelm Scream,6v7mkDKyZ50l4Jiqwx2JLg,100.0
A Winged Victory for the Sullen,USUK,A Winged Victory for the Sullen,13CMfEeq8AC6ryGOPODqE1,100.0
A Wên,VN,Carnie And Wendy Wilson,3a5gYWQUgFrIEXqnE1tgD4,29.0
A Year in Europe,EU,,,
A lo cubano,Latin,ALC (A Lo Cubano),46IpJUx38UUD2w1yIIyPz6,64.0
A pink 초봄,KR,,,
A punto cinco,Latin,,,
A train to autumn,KR,A train to autumn,4uMb1GcepxsnkkShyKYl0c,100.0
A$AP Ferg,USUK,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,100.0
A$AP Mob,USUK,A$AP Mob,7yO4IdJjCEPz7YgZMe25iS,100.0
A$AP Rocky,USUK,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,100.0
A'ST1,KR,Charles Wright & The Watts 103rd Street Rhythm Band,2t0kaaDtGZtmpczIAMaVTQ,7.0
A*Teens,USUK,A*Teens,5zMgvYBz4AW0gFyPtg7fR9,100.0
A-Daily,KR,Daily Bread ASMR,5w3G5ruyzB1gtSWRHCmINB,43.0
A-Dean,KR,"Phillips, Craig & Dean",0g5OkLnQogzLrT9s5vw6kl,29.0
A-FATI,KR,Aisha Fatima,54MKJY0ZAeP68RsaXsyfVo,22.0
A-Feel,KR,desert sand feels warm at night,31krAdMGlK6qGv5TCF7e9P,16.0
A-Force,KR,The US Air Force Singing Sergeants,7CUXUUk39ozSPG1v4lxfip,29.0
A-Gear,JP,Al Gear,7gIB5TTgIpeomi15bpGx7S,77.0
A-JAX,KR,North Ave Jax,7t3WSgiRVbVsTIbsgcHVrY,22.0
A-PRINCE,KR,DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,5.0
A-RISE (綺羅ツバサ(CV.桜川めぐ)、統堂英玲奈(CV.松永真穂)、優木あんじゅ(CV.大橋歩夕)),JP,A-RISE (綺羅ツバサ(CV.桜川めぐ)、統堂英玲奈(CV.松永真穂)、優木あんじゅ(CV.大橋歩夕)),43lNrsbpIJHYX3qQpGJXka,100.0
A-Real,KR,Lukas Nelson and Promise of the Real,5iXYJYmMcjlTFL1qA8UfgY,19.0
A-Thug,JP,Birdman & Young Thug,55keVvbYUFpoFlEd6V1zG6,31.0
A. B. Quintanilla III  y los Kumbia Kings,Latin,A.B. Quintanilla III Y Los Kumbia Kings,6BMQo3hxi4qwLiZpHKK5iL,92.0
A. Calamaro y Coti,Latin,,,
A. Flores,Latin,La Numero 1 Banda Jerez De Marco A. Flores,5KMVb0Y20BTIrobzI2YZUi,35.0
A. Ogiishi,JP,,,
A.B. Junior,Latin,Bertin Gomez Jr De Acapulco,5lOjRXfRzp8zflRUXziWwi,21.0
